Name,Spec,Name
라라스윗 저당 말차 초코바,"아이스크림/제로슈거/저당/알레르기성분: 대두, 계란, 우유/표시기준분량: 90ml/열량: 155kcal/탄수화물: 6%/당류: 2.6g/단백질: 2.9g/지방: 13g/포화지방: 7g/트랜스지방: 0g/콜레스테롤: 7%/나트륨: 35mg"
라라스윗 저당 멜론바,아이스크림/바(막대)/70ml/저당/알룰로스/알레르기성분: 우유/냉동보관/열량: 80kcal/탄수화물: 15g/당류: 3g/단백질: 1g/지방: 5g/포화지방: 3.1g/나트륨: 2%
라라스윗 저당 바닐라 초코바 4p 냉동,아이스크림
라라스윗 저당 바닐라 초코바,"아이스크림/제로슈거/저당/알룰로스/알레르기성분: 대두, 계란, 우유/표시기준분량: 90ml/열량: 165kcal/탄수화물: 20.6g/당류: 2.6g/단백질: 2.9g/지방: 13.6g/포화지방: 8g/트랜스지방: 0g/콜레스테롤: 25mg/나트륨: 40mg"
라라스윗 저당 초코 초코바,"아이스크림/제로슈거/90ml/저당/알룰로스/알레르기성분: 대두, 계란, 우유/표시기준분량: 90ml/열량: 165kcal/탄수화물: 19g/당류: 2g/단백질: 4g/지방: 14g/포화지방: 7g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 60mg"
라라스윗 저칼로리 아이스크림 녹차,"아이스크림/컵,파우치"
라라스윗 저칼로리 아이스크림 딸기,"아이스크림/컵,파우치"
라라스윗 저칼로리 아이스크림 멜론,"아이스크림/컵,파우치"
라라스윗 저칼로리 아이스크림 바닐라빈,"아이스크림/컵,파우치"
라라스윗 저칼로리 아이스크림 초코렛,"아이스크림/컵,파우치"
라라스윗 초콜릿,"아이스크림/컵,파우치/제로슈거/474ml/저당/표시기준분량: 100ml/열량: 60kcal/탄수화물: 11g/당류: 2g/단백질: 7%/지방: 1.9g/포화지방: 1.2g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 60mg"
라라스윗 초콜릿 모나카 아이스크림,"아이스크림/제로슈거/140ml/알레르기성분: 대두, 밀, 계란, 우유/표시기준분량: 140ml/열량: 125kcal/탄수화물: 21.5g/당류: 5g/단백질: 5g/지방: 6g/포화지방: 3,5g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 95mg"
라라스윗 초콜릿 모나카 아이스크림입,아이스크림/샌드
라라스윗 초콜릿 빵샌드,"아이스크림/샌드/180ml/4개입/저열량/알룰로스/알레르기성분: 밀, 우유/냉동보관/원산지: 국산(우유)/표시기준분량: 180ml/열량: 170kcal/탄수화물: 31g/당류: 11g/단백질: 5g/지방: 6g/포화지방: 3.3g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 150mg"
라라스윗 팥 모나카 아이스크림,"아이스크림/제로슈거/저당/알레르기성분: 대두, 밀, 계란, 우유/표시기준분량: 140ml/열량: 120kcal/탄수화물: 32g/당류: 4g/단백질: 4g/지방: 4.7g/포화지방: 2.8g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 60mg"
라벤다 파밀리아 바닐라 아이스크림,아이스크림
라벨리3종 업소용 대용량 프리미엄 아이스크림 바닐라 초코 딸기,
라벨리5종 업소용 아이스크림 메론 블루베리 바닐라 딸기 초코,
라벨리 녹차 아이스크림,"아이스크림/컵,파우치"
라벨리 더블팅,"아이스크림/컵,파우치"
라벨리 딜리셔스,"빙수/아이스크림/5L/알레르기성분: 대두, 우유/표시기준분량: 100ml/열량: 88kcal/탄수화물: 4%/당류: 10g/단백질: 1g/지방: 4g/포화지방: 4g/콜레스테롤: 0mg/나트륨: 8mg"
라벨리 딜리셔스 딸기 아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)"
라벨리 딜리셔스 메론 아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)"
라벨리 딜리셔스 바닐라 아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)"
라벨리 딜리셔스 블루베리 아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)"
라벨리 딜리셔스 초코 아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)"
라벨리 라벨리 4리터 프리미엄,
라벨리 리치몬드,아이스크림/바(막대)
라벨리 바닐라 아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)"
라벨리 빅아이스 콘칩,아이스크림/샌드/170ml/표시기준분량: 170ml/열량: 212kcal/탄수화물: 46g/당류: 39g/단백질: 1g/지방: 2.7g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 100mg
라벨리 생초코바,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
라벨리 스트로베리 아이스크림,"아이스크림/컵,파우치"
