2024-10-17 12:57:57
18574532,쌍계명차 일상다완 허니플라워 도라지 260g,1개,16740,15몰,644원/10g,도라지차/액상
18397355,참두리 볶은 여주 100T,1,15000,1몰,1개,기타 차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
18397376,참두리 볶은 여주 100T,2,22290,1몰,2개,기타 차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
18397070,참두리 보스웰리아 100T,1개,15000,1몰,150원/1T,기타 차/티백형/총량: 100T/1T당: 2g
18396929,참두리 팽이버섯 100T,1개,15000,1몰,150원/1T,기타 차/티백형/총량: 100T/1T당: 1g
32621927,남양 지노 쌍화차 50T x 8,,57430,6몰,,쌍화차/스틱형
33459194,남양 단호박 천마차 50T,1개,15400,3몰,308원/1개입,천마차/스틱형
18336515,남양유업 콘푸레이크 천마차 50T,1개,15400,2몰,308원/1T,천마차/스틱형/총량: 50T/1T당: 18g
18336257,남양유업 단호박 천마차 50T,1개,15400,2몰,308원/1T,천마차/스틱형/총량: 50T/1T당: 17.5g
18333554,청솔식품 청솔쑥차 900g,1,6230,9몰,1개,기타 차/분말
18333617,청솔식품 청솔쑥차 900g,2,82910,3몰,12개,기타 차/분말
18325814,유화당 꿀생강청 500g,1,21500,1몰,1개,생강차/액상
18325829,유화당 꿀생강청 500g,2,40000,1몰,2개,생강차/액상
18324563,드시다 몸과 마음에 이로운 진저 레몬 650g,1개,37000,2몰,569원/10g,생강차/액상
18308759,오가다 꿀생강차 350g,1,11400,1몰,1개,생강차/액상
18308771,오가다 꿀생강차 350g,2,21300,1몰,2개,생강차/액상
18214412,알티스트 쌍화차 한잔에 당분이 단 0.5g 10T,1,4390,9몰,1개,쌍화차/스틱형/총량: 10T/1T당: 15g
18214424,알티스트 쌍화차 한잔에 당분이 단 0.5g 10T,2,10780,2몰,2개,쌍화차/스틱형/총량: 10T/1T당: 15g
18214439,알티스트 쌍화차 한잔에 당분이 단 0.5g 10T,3개,14400,2몰,480원/1T,쌍화차/스틱형/총량: 10T/1T당: 15g
18129272,푸드시너지 고미네 고미고미 고미네 차가버섯 티백 50T,2,13830,1몰,1개,기타 차/티백형/총량: 50T/원산지: 외국산
